Date,Exercise,Type,Exercise Kilojoules,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2021-07-19,MFP iOS calorie adjustment,Cardio,16.7,1,,,,550,I did some push ups and sit ups, not recorded.
2021-07-20,Gym Workout,Cardio,188.3,5,,,,,
2021-07-20,Gym Workout,Cardio,188.3,5,,,,,
2021-07-20,MFP iOS calorie adjustment,Cardio,0.0,1,,,,199,
2021-07-21,Gym Workout,Cardio,188.3,5,,,,,
2021-07-21,MFP iOS calorie adjustment,Cardio,0.0,1,,,,333,
2021-07-22,Gym Workout,Cardio,188.3,5,,,,,
2021-07-22,MFP iOS calorie adjustment,Cardio,0.0,1,,,,283,
2021-07-23,Gym Workout,Cardio,188.3,5,,,,,
2021-07-23,MFP iOS calorie adjustment,Cardio,0.0,1,,,,118,
2021-07-24,MFP iOS calorie adjustment,Cardio,20.9,1,,,,1116,
2021-07-25,MFP iOS calorie adjustment,Cardio,16.7,1,,,,508,
2021-07-26,MFP iOS calorie adjustment,Cardio,288.7,1,,,,4131,
2021-07-27,Gym Workout,Cardio,188.3,5,,,,,
2021-07-27,MFP iOS calorie adjustment,Cardio,0.0,1,,,,16,
2021-07-28,MFP iOS calorie adjustment,Cardio,79.5,1,,,,1751,
2021-07-29,MFP iOS calorie adjustment,Cardio,163.2,1,,,,2809,
2021-07-30,Gym Workout,Cardio,184.1,5,,,,,
2021-07-30,MFP iOS calorie adjustment,Cardio,0.0,1,,,,114,
2021-07-31,MFP iOS calorie adjustment,Cardio,284.5,1,,,,4934,
2021-08-01,MFP iOS calorie adjustment,Cardio,133.9,1,,,,2921,
2021-08-02,Gym Workout,Cardio,184.1,5,,,,,
2021-08-02,MFP iOS calorie adjustment,Cardio,0.0,1,,,,531,
2021-08-03,MFP iOS calorie adjustment,Cardio,0.0,1,,,,146,
2021-08-04,MFP iOS calorie adjustment,Cardio,0.0,1,,,,205,
2021-08-05,MFP iOS calorie adjustment,Cardio,0.0,1,,,,71,
2021-08-06,MFP iOS calorie adjustment,Cardio,313.8,1,,,,4620,
2021-08-07,MFP iOS calorie adjustment,Cardio,104.6,1,,,,2574,
2021-08-08,MFP iOS calorie adjustment,Cardio,301.2,1,,,,4340,
2021-08-09,Gym Workout,Cardio,184.1,5,,,,,
2021-08-09,MFP iOS calorie adjustment,Cardio,0.0,1,,,,227,
2021-08-10,MFP iOS calorie adjustment,Cardio,79.5,1,,,,1257,
2021-08-11,MFP iOS calorie adjustment,Cardio,4.2,1,,,,138,
2021-08-12,MFP iOS calorie adjustment,Cardio,4.2,1,,,,213,
2021-08-13,MFP iOS calorie adjustment,Cardio,25.1,1,,,,801,
2021-08-14,MFP iOS calorie adjustment,Cardio,878.6,1,,,,13689,
2021-08-15,MFP iOS calorie adjustment,Cardio,267.8,1,,,,5094,
2021-08-16,MFP iOS calorie adjustment,Cardio,104.6,1,,,,1550,
2021-08-17,MFP iOS calorie adjustment,Cardio,0.0,1,,,,93,
2021-08-18,MFP iOS calorie adjustment,Cardio,0.0,1,,,,175,
2021-08-19,MFP iOS calorie adjustment,Cardio,87.9,1,,,,1799,
2021-08-20,MFP iOS calorie adjustment,Cardio,66.9,1,,,,1131,
2021-08-21,MFP iOS calorie adjustment,Cardio,405.8,1,,,,6657,
2021-08-22,MFP iOS calorie adjustment,Cardio,92.0,1,,,,1569,
2021-08-23,Gym Workout,Cardio,686.2,20,,,,,
2021-08-23,MFP iOS calorie adjustment,Cardio,0.0,1,,,,357,
2021-08-24,MFP iOS calorie adjustment,Cardio,0.0,1,,,,113,
2021-08-25,Gym Workout,Cardio,552.3,15,,,,,
2021-08-25,MFP iOS calorie adjustment,Cardio,0.0,1,,,,434,
2021-08-26,MFP iOS calorie adjustment,Cardio,54.4,1,,,,1128,
2021-08-27,Gym Workout,Cardio,292.9,8,,,,,
2021-08-27,MFP iOS calorie adjustment,Cardio,79.5,1,,,,2474,
2021-08-28,MFP iOS calorie adjustment,Cardio,125.5,1,,,,3292,
2021-08-29,MFP iOS calorie adjustment,Cardio,163.2,1,,,,2996,
2021-08-30,Gym Workout,Cardio,665.3,18,,,,,
2021-08-30,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2114,
2021-08-31,MFP iOS calorie adjustment,Cardio,87.9,1,,,,1524,
2021-09-01,Gym Workout,Cardio,339.0,10,,,,,
2021-09-01,MFP iOS calorie adjustment,Cardio,0.0,1,,,,316,
2021-09-02,MFP iOS calorie adjustment,Cardio,12.6,1,,,,382,
2021-09-03,Gym Workout,Cardio,288.7,8,,,,,
2021-09-03,MFP iOS calorie adjustment,Cardio,0.0,1,,,,504,
2021-09-04,MFP iOS calorie adjustment,Cardio,117.2,1,,,,2728,
2021-09-05,MFP iOS calorie adjustment,Cardio,46.0,1,,,,2054,
2021-09-06,Gym Workout,Cardio,652.7,18,,,,,
2021-09-06,MFP iOS calorie adjustment,Cardio,0.0,1,,,,343,
